Loan ID,Customer ID,Current Loan Amount,Term,Credit Score,Annual Income,Years in current job,Home Ownership,Purpose,Monthly Debt,Years of Credit History,Months since last delinquent,Number of Open Accounts,Number of Credit Problems,Current Credit Balance,Maximum Open Credit,Bankruptcies,Tax Liens
ac8e5698-16a9-46f0-8b57-3fa2e145f8fd,9a561b03-ce0c-411e-85b4-73a108718cb7,108152.0,Short Term,705.0,747156.0,4 years,Rent,Business Loan,20235.38,19.9,15.0,14.0,0.0,174344.0,348062.0,0.0,0.0
af0a5a13-350d-4540-a254-c32545ebe2cb,322fdfe1-0113-4a84-8a6d-e93dcfe5d7e2,360228.0,Short Term,740.0,2138906.0,10+ years,Home Mortgage,Debt Consolidation,27984.15,15.5,18.0,8.0,0.0,164008.0,225280.0,0.0,0.0
f95c766b-55ca-43a7-966c-67a3ad82e142,481df4a0-f256-4c49-92db-8ae7a5642bdf,337370.0,Long Term,717.0,1146004.0,1 year,Rent,Debt Consolidation,14802.33,21.0,32.0,9.0,0.0,256139.0,423104.0,0.0,0.0
c3552bfe-912d-42f2-b25e-73d899e0de8b,b171374b-7aa3-42bb-b242-3bca259f8f28,257444.0,Short Term,736.0,648508.0,10+ years,Rent,Debt Consolidation,5944.53,17.5,46.0,10.0,0.0,204516.0,621566.0,0.0,0.0
8ab9234f-3964-4c1c-bda0-d993fbd62f24,5ef6d424-eada-4bab-8904-4f7f26523c92,654126.0,Long Term,646.0,2504504.0,9 years,Home Mortgage,other,14818.48,31.9,11.0,7.0,0.0,130264.0,187594.0,0.0,0.0
42a25517-cef8-41d4-b56e-629e17618252,395a76dd-8ad0-45fb-ae56-bd848e300352,539990.0,Long Term,682.0,1790807.0,2 years,Home Mortgage,Debt Consolidation,24026.64,17.3,53.0,13.0,1.0,81358.0,382910.0,1.0,0.0
443bcf4c-2f98-42c9-8034-0870be82c4c6,5b064f68-e99a-4597-80c7-2f2ac4ebea9a,316426.0,Long Term,717.0,683183.0,1 year,Rent,Debt Consolidation,16453.24,15.0,2.0,10.0,0.0,136952.0,554488.0,0.0,0.0
65688ec3-f816-4745-8eb0-79a08c41ecfd,d3790b57-80e5-45f7-8b4f-81baa72e1df1,223344.0,Short Term,716.0,1195898.0,10+ years,Rent,Debt Consolidation,11759.86,17.6,71.0,7.0,0.0,94677.0,167618.0,0.0,0.0
61d9fcf2-81ac-409a-8582-7dbee3c2d28b,4d1fef0f-293c-4090-92be-a7fc30b34cee,304986.0,Long Term,674.0,4872778.0,3 years,Rent,Debt Consolidation,30130.01,21.9,26.0,13.0,0.0,155078.0,1081740.0,0.0,0.0
2107184a-4425-409d-a86e-76c0134d797e,866ee209-7187-4290-a21c-57dcd80d89fc,253506.0,Long Term,733.0,1403492.0,4 years,Rent,Debt Consolidation,30525.78,26.7,40.0,19.0,0.0,16492.0,149138.0,0.0,0.0
f30d1652-e200-4672-8d07-e4e2b2c1f3a8,cb67a8b2-2616-42a2-b01c-9fc091cf3a13,170126.0,Short Term,712.0,1137492.0,3 years,Rent,other,3564.21,12.5,40.0,5.0,0.0,70205.0,109692.0,0.0,0.0
a4f187d0-8f0b-4b39-afed-525e169f53cd,8de92ad9-0cd0-49e4-b0fe-ed393b995c20,142868.0,Short Term,740.0,2429815.0,10+ years,Rent,Debt Consolidation,14781.43,31.0,52.0,15.0,0.0,189449.0,507782.0,0.0,0.0
57c8c784-d7cf-4cdb-a0c1-4a79716dee82,7e5e0b4e-b7fe-4a1b-8a02-e45449fdccdf,401192.0,Short Term,721.0,1116440.0,4 years,Rent,Debt Consolidation,14792.83,13.5,48.0,9.0,0.0,431414.0,731368.0,0.0,0.0
99565f3b-7644-4f15-b869-4bdde4cbec4e,8248911f-1a7b-442c-aada-85dfcb6cd9e1,168124.0,Short Term,7110.0,967955.0,1 year,Rent,other,14519.42,14.5,34.0,18.0,0.0,143697.0,311608.0,0.0,0.0
20bca72c-e5f3-4513-bab8-42f8fde05607,0dfab644-1eb7-4b17-85bc-403633674687,657162.0,Short Term,740.0,3783660.0,3 years,Home Mortgage,Debt Consolidation,25508.07,15.2,13.0,14.0,0.0,579937.0,948464.0,0.0,0.0
efd9fafc-ba0e-4d8d-98c2-86a24e361606,13f957c2-8e44-42d0-a2bb-f743a3acdd55,526900.0,Long Term,667.0,1516808.0,10+ years,Rent,Debt Consolidation,22246.53,23.0,6.0,7.0,0.0,196992.0,254584.0,0.0,0.0
f8edc5d8-1b14-41e1-8f74-0df42e6d9e61,13a01f7f-e356-4b65-9b6e-4fe9e9779791,330132.0,Short Term,743.0,1520608.0,8 years,Rent,Debt Consolidation,17613.76,17.0,7.0,15.0,0.0,133133.0,213510.0,0.0,0.0
e840a6a8-28a2-4b38-9863-390381eebee2,2ed5467e-f5ee-4a35-8b86-2df1390672c4,99999999.0,Short Term,746.0,1132590.0,8 years,Rent,Debt Consolidation,8230.23,22.0,20.0,5.0,0.0,298623.0,917180.0,0.0,0.0
a900656d-6764-4fe1-bd64-8452ee62e540,9efee5e3-cac0-4e68-8e38-9b0e83e5e50c,107668.0,Short Term,747.0,1394790.0,4 years,Home Mortgage,Debt Consolidation,29290.59,18.2,11.0,10.0,0.0,160474.0,529386.0,0.0,0.0
01579727-e7e1-4621-98de-ea7b6f0a68a3,2041dcbb-2702-42aa-97dd-ca0c211ffe1e,268906.0,Short Term,738.0,909606.0,< 1 year,Rent,Debt Consolidation,16145.63,18.0,14.0,11.0,0.0,589285.0,1201288.0,0.0,0.0
008f1b41-9312-44b3-8531-c00f3f28da51,ebc1af23-93ec-40d6-8f05-d993bc96b992,156398.0,Short Term,716.0,1234962.0,10+ years,Home Mortgage,other,26757.7,19.5,9.0,21.0,0.0,466108.0,958606.0,0.0,0.0
ea65b743-89e5-4d97-8ecf-03703ebb2254,a68ab034-8859-456c-aa4a-b2ccf80eee6e,44198.0,Long Term,717.0,839838.0,10+ years,Home Mortgage,other,15047.24,17.5,40.0,7.0,1.0,127699.0,176858.0,1.0,0.0
1eb4c0ae-7d6b-4764-8b74-60a24e341cd7,6d8b52bc-ace0-407b-be61-317de1f51e98,141724.0,Short Term,7150.0,847400.0,5 years,Rent,Debt Consolidation,14405.61,13.8,66.0,8.0,0.0,80750.0,102520.0,0.0,0.0
7d91aa45-370f-4d1f-9552-bfe5b2114dc6,ba3d1f80-2633-43ec-a688-1df4ba345bb0,161854.0,Short Term,701.0,660079.0,2 years,Home Mortgage,other,7810.9,17.9,76.0,9.0,0.0,231401.0,380050.0,0.0,0.0
81efdeb9-ed7a-4ac2-905d-e771d943781c,6f7e54ce-145b-4316-857c-4ed12f28e185,129844.0,Short Term,727.0,1214746.0,8 years,Home Mortgage,Debt Consolidation,19840.94,21.2,11.0,11.0,0.0,175427.0,448404.0,0.0,0.0
fac9e81c-fcea-4670-a7b2-2761de9c2c6a,bfd757dd-9b62-4daf-829c-23e803c92ddf,211156.0,Long Term,717.0,1177848.0,5 years,Home Mortgage,Home Improvements,14173.24,18.7,78.0,7.0,0.0,276754.0,494538.0,0.0,0.0
26881993-c57d-436d-9c53-747c93062d58,815fa30f-7175-46e3-b4ad-488c2066ecea,224202.0,Short Term,699.0,619609.0,2 years,Rent,Debt Consolidation,17504.13,7.6,36.0,14.0,0.0,107730.0,188452.0,0.0,0.0
e18004ba-2c00-4b05-8a7c-4aa5e064bd15,1bfb21be-06e8-4ee6-8987-85a7f5b742f7,260744.0,Long Term,704.0,2683579.0,3 years,Home Mortgage,Debt Consolidation,31308.39,37.3,40.0,14.0,1.0,109003.0,167376.0,1.0,0.0
1114a7c5-4cea-49c1-b4e3-7ca2183da503,fea633cd-8101-43e8-ac99-0af327054a6e,99999999.0,Short Term,712.0,1874920.0,7 years,Rent,Debt Consolidation,10452.66,22.4,19.0,5.0,3.0,159239.0,312510.0,0.0,3.0
46042ce5-d55b-48e7-a7ef-e366bd9a990e,f5ab66a2-997f-441e-b438-1f9494b2e437,54736.0,Short Term,707.0,1550362.0,10+ years,Home Mortgage,other,29844.63,18.0,82.0,12.0,0.0,772806.0,963204.0,0.0,0.0
e5aee504-b3ea-46a6-8080-323b9e03606b,4034c5b1-11c0-4d45-a542-164416236cbb,120736.0,Short Term,725.0,1137606.0,< 1 year,Rent,Buy a Car,6598.13,16.3,5.0,14.0,0.0,144704.0,504680.0,0.0,0.0
b3b5a924-cf67-4854-bc9d-fb4578e415a1,cb3329df-10b5-4b88-a8eb-deee67d4c455,99999999.0,Short Term,721.0,661808.0,5 years,Home Mortgage,Debt Consolidation,14725.19,13.7,77.0,18.0,0.0,323380.0,455510.0,0.0,0.0
4743708e-2969-462c-baca-1bbe549fa00d,ac8077f4-8ca5-4af2-a3be-c55e78d47995,539836.0,Long Term,720.0,1995399.0,10+ years,Rent,Debt Consolidation,31261.08,24.5,33.0,9.0,0.0,300694.0,399278.0,0.0,0.0
620f3b20-fcc6-4d91-8518-b6e840265b4a,1df86adb-1434-43f3-aac7-8faa096b04fb,213004.0,Long Term,731.0,1316814.0,10+ years,Home Mortgage,Medical Bills,13870.38,22.1,51.0,14.0,0.0,160341.0,1355156.0,0.0,0.0
f0c23640-cc6f-4b51-b581-caacfcf96a1e,f2deb1ca-686d-41e1-9d85-1daff51c8c88,240548.0,Long Term,695.0,1556974.0,6 years,Home Mortgage,Debt Consolidation,33345.0,26.0,36.0,32.0,1.0,294614.0,1176274.0,0.0,0.0
4a6b72d0-a633-4663-81e3-a8d80a6ddd6c,2bc9fb41-a37b-4943-a6d1-5160e40b761f,781946.0,Long Term,643.0,1736505.0,10+ years,Home Mortgage,Debt Consolidation,29810.05,30.1,2.0,8.0,0.0,64619.0,82676.0,0.0,0.0
1f6909a8-e8ab-4a06-8613-4d1c3e47f682,7740a2ea-8745-4d04-bd1a-0f6e18c3c2a1,99999999.0,Short Term,745.0,728992.0,4 years,Rent,Debt Consolidation,15430.47,21.5,36.0,11.0,1.0,69407.0,275220.0,1.0,0.0
cfd7fec3-7953-4d1e-9c37-a1f85d946780,ba11f91a-dc1e-45fb-ad76-eb1c01b9f4a5,126346.0,Short Term,714.0,858458.0,8 years,Rent,Debt Consolidation,9586.07,14.8,56.0,5.0,0.0,78546.0,117656.0,0.0,0.0
e9ec45d6-2b2f-408d-847d-60152b09c9a7,796c86b4-9caf-4e4c-942e-73512482d85e,210892.0,Short Term,746.0,739898.0,< 1 year,Rent,Other,7645.6,10.5,28.0,10.0,0.0,74765.0,250206.0,0.0,0.0
d1e923ec-acf9-477a-a6ef-bc7a452b1f20,3a202b99-75ed-433e-b1d0-8ab15b4c1fcf,443916.0,Short Term,738.0,2396147.0,2 years,Rent,Debt Consolidation,36541.18,15.7,78.0,16.0,0.0,539961.0,897006.0,0.0,0.0
7a803b96-d81d-47d9-971d-40fc1a72e912,6e7f77ef-afdf-49c4-88f2-ff1ce605063d,178310.0,Short Term,716.0,1308929.0,5 years,Rent,Debt Consolidation,20288.39,14.8,61.0,11.0,0.0,231344.0,401038.0,0.0,0.0
86996221-8347-488a-a56f-acd59fefd078,e2cd778b-6ab1-4b94-97f0-45179e073d1e,99999999.0,Short Term,708.0,805391.0,5 years,Rent,Debt Consolidation,18792.52,17.9,44.0,10.0,0.0,99180.0,219164.0,0.0,0.0
ba96acd2-d156-45f8-a4d3-34aab4b12e32,736b6504-e9dc-47f5-a034-5b1d5e9f4081,99999999.0,Long Term,737.0,1553744.0,4 years,Home Mortgage,Debt Consolidation,27967.43,28.5,28.0,16.0,0.0,346617.0,707850.0,0.0,0.0
eb427bde-c8db-4bf8-b681-a28129acdb52,78563092-2d79-4fea-9e75-b8fc89d0ed65,72424.0,Short Term,737.0,786695.0,8 years,Home Mortgage,Debt Consolidation,7604.75,17.5,45.0,16.0,0.0,166136.0,307296.0,0.0,0.0
d17473da-6063-475f-9a80-01fbec10657f,7964061b-8b34-4f8a-a7f2-bfbd5bdcea76,537922.0,Short Term,742.0,2032506.0,8 years,Home Mortgage,Debt Consolidation,27608.14,18.2,26.0,10.0,0.0,1172718.0,1398430.0,0.0,0.0
e31c29cf-ca05-425f-9b3f-4764bf806173,fb394d3e-19ea-4da5-be0b-4846734d3931,359700.0,Short Term,713.0,1941610.0,10+ years,Home Mortgage,Home Improvements,26697.09,22.2,72.0,9.0,0.0,539030.0,762058.0,0.0,0.0
29209e40-7ce0-49dc-9d40-648211a05673,b4d7ff7f-6a39-4d0e-b757-a67f4af7f701,620796.0,Long Term,713.0,2393525.0,2 years,Rent,Debt Consolidation,21142.82,18.3,49.0,10.0,0.0,132544.0,534732.0,0.0,0.0
c44ca1fc-ff25-4efe-9cb4-84744ef604ee,27dc8870-2d2f-4db3-9789-06d3bded6886,257642.0,Short Term,741.0,3152157.0,2 years,Rent,Debt Consolidation,11163.83,20.6,28.0,15.0,0.0,284278.0,901802.0,0.0,0.0
6348a923-fd5f-4b80-b1c7-66a9493c4671,e160c4fa-f3c8-4de2-ac55-8edff65fe04a,87208.0,Short Term,707.0,1977254.0,10+ years,Home Mortgage,other,45311.77,22.6,41.0,13.0,0.0,316160.0,416460.0,0.0,0.0
6c46a87e-2937-41eb-896e-04f480db12bb,22c52e25-3f23-47e6-9e52-ce9a5eac2c9a,44330.0,Short Term,675.0,765700.0,10+ years,Home Mortgage,other,10336.95,21.7,10.0,4.0,0.0,38722.0,53196.0,0.0,0.0
1a0951dd-d662-4a40-b063-647839111d0b,d7a2f983-64ed-493b-bf34-d7823d1b7584,123156.0,Short Term,731.0,1063715.0,< 1 year,Own Home,other,7694.05,13.6,33.0,6.0,0.0,114.0,67188.0,0.0,0.0
e92b5887-7d96-4a98-8d7c-754222991380,d8587134-c000-47ed-816a-bdf244337ad9,782254.0,Long Term,634.0,3223445.0,10+ years,Rent,Business Loan,24740.09,15.1,65.0,10.0,1.0,44327.0,255310.0,1.0,0.0
545f60ac-a2cf-4390-a21f-8f96d74f6588,5ec42efb-3c8d-49e2-a4a8-c2ba098e0571,21670.0,Short Term,713.0,805068.0,10+ years,Rent,Home Improvements,7782.4,17.4,36.0,21.0,0.0,87799.0,612370.0,0.0,0.0
dfa94735-8756-45f8-be1c-4ef12f9397ce,644a28a7-53ca-4171-8c57-c440c59da809,125422.0,Short Term,735.0,928511.0,7 years,Home Mortgage,Debt Consolidation,14546.59,15.9,55.0,17.0,0.0,73549.0,197120.0,0.0,0.0
9d892d0d-5b6e-4cbb-8bcb-348e1a64cc79,c9047ab7-59ee-4fe8-9738-c054487823d9,431640.0,Short Term,722.0,2329875.0,4 years,Home Mortgage,Home Improvements,21551.32,22.6,55.0,12.0,0.0,238621.0,325820.0,0.0,0.0
f0ab9acc-c8c6-48ad-b91b-555530cdbba3,0be4677d-6b16-43f3-b5aa-a68130372298,75064.0,Short Term,697.0,375858.0,3 years,Rent,Debt Consolidation,9333.94,11.7,37.0,2.0,0.0,19950.0,54384.0,0.0,0.0
0bf9cfd3-d64b-446d-9a21-02455e00e823,0a58217f-f0b4-4165-9c27-e16eda680664,298298.0,Long Term,701.0,1217843.0,10+ years,Home Mortgage,Debt Consolidation,11467.83,13.4,17.0,7.0,0.0,75316.0,192940.0,0.0,0.0
a0c5de8b-543e-4b5e-9d41-53239196ab90,e4e3f010-e951-4b4d-8958-48d1aad00878,108064.0,Short Term,731.0,597303.0,3 years,Rent,Debt Consolidation,5475.23,12.8,20.0,15.0,1.0,32110.0,97328.0,0.0,1.0
350f8d58-46e3-4755-9770-9aeafc865975,b8ec6859-7278-43bb-9172-0c9030f90b16,216722.0,Short Term,710.0,580222.0,1 year,Rent,Debt Consolidation,14070.45,19.1,15.0,11.0,0.0,56544.0,382888.0,0.0,0.0
3df2de5c-2eb9-489c-8272-931e92168d49,0f597778-73ad-48cd-86bd-8f3247908174,354882.0,Short Term,732.0,948214.0,6 years,Home Mortgage,Debt Consolidation,18727.35,8.5,51.0,9.0,0.0,0.0,0.0,0.0,0.0
54f66553-d57d-4726-9a60-87c0d58921ae,f1671067-da46-4090-ad7a-78abe7f75b78,140976.0,Short Term,707.0,1311114.0,4 years,Rent,Debt Consolidation,12674.14,8.4,14.0,12.0,0.0,150936.0,232078.0,0.0,0.0
5692a0fd-f3f6-4fe2-916d-ac3c73fadeb3,5914fa0d-3a07-496c-bcde-48de6d04124a,110924.0,Short Term,701.0,728061.0,10+ years,Rent,Medical Bills,4538.34,28.9,42.0,9.0,1.0,97071.0,226138.0,1.0,0.0
fee689ce-e931-412f-8074-cca0c074b380,cd28c9e7-a649-46a9-877c-8ef4e476bfc4,270160.0,Short Term,709.0,1555416.0,2 years,Rent,Debt Consolidation,12598.9,21.2,12.0,5.0,0.0,239229.0,352418.0,0.0,0.0
b45c6064-00c6-4081-9ffc-b0232487c940,2da75d2a-9e3d-430a-83ba-55564895829c,340186.0,Long Term,652.0,1700424.0,10+ years,Home Mortgage,Home Improvements,20688.53,31.5,33.0,9.0,0.0,193971.0,271260.0,0.0,0.0
5bb59772-5822-4d9d-8090-a137b7cbb605,6480762e-5522-4fd1-8dc0-ba65851b7772,99999999.0,Short Term,746.0,846944.0,10+ years,Rent,Debt Consolidation,15456.88,41.4,48.0,19.0,0.0,203471.0,1095842.0,0.0,0.0
1719704e-0ac6-49b6-ad0c-c1f830be7b0c,c034b68f-30da-4032-ac34-817dcd9bd04e,328262.0,Short Term,749.0,2097828.0,3 years,Home Mortgage,Debt Consolidation,23076.07,23.0,64.0,9.0,1.0,323912.0,713042.0,0.0,0.0
fe48b90e-6bbc-43bb-82df-039593bca3b7,52af7f4e-96a4-455b-95da-ada808316223,523248.0,Short Term,663.0,1788983.0,< 1 year,Rent,Debt Consolidation,13536.55,15.5,49.0,17.0,0.0,165528.0,426888.0,0.0,0.0
48f0170f-9883-4077-bf28-185aec7d4bfc,042b59b2-3dca-4e21-b66a-d95b5212379a,99999999.0,Long Term,720.0,1704452.0,7 years,Home Mortgage,Debt Consolidation,20169.26,22.6,73.0,9.0,0.0,635265.0,793496.0,0.0,0.0
b1f7294d-794c-4d44-b1c6-c558d4c71855,7680fc52-eb28-4595-a329-7323ab153ae7,220682.0,Short Term,712.0,2858835.0,6 years,Rent,other,22799.24,12.5,20.0,9.0,0.0,339815.0,496826.0,0.0,0.0
fb697810-b2e7-4d98-8a08-59d4a69d56f0,bce038de-dc1c-45ed-ac02-1bcf7b15a581,458964.0,Long Term,704.0,1581731.0,10+ years,Home Mortgage,other,28339.26,23.7,35.0,13.0,0.0,2203791.0,5406258.0,0.0,0.0
e52b1146-d633-4b9d-8f96-1f62be018ff5,7f754633-b71e-4a97-a392-b8adbf8c3288,351538.0,Short Term,698.0,1214423.0,< 1 year,Home Mortgage,Debt Consolidation,27931.71,20.2,27.0,15.0,0.0,472283.0,654896.0,0.0,0.0
3ae5ca1b-5bcb-4570-8f77-ea92b39b8f4a,a619f2aa-17c8-494a-94aa-0bb7ae67197d,156486.0,Short Term,719.0,637089.0,5 years,Home Mortgage,Debt Consolidation,6795.73,17.0,66.0,11.0,0.0,285950.0,453574.0,0.0,0.0
d1cd4a3b-1c0b-4ecb-85bb-f1e57159a3dd,36cb105b-59e2-4cdc-87d5-3ef7a36504cb,99999999.0,Short Term,750.0,1401782.0,10+ years,Home Mortgage,Debt Consolidation,16821.27,18.0,57.0,12.0,0.0,255816.0,881562.0,0.0,0.0
76cf3285-ac14-4f89-b089-0352eea85221,975cb9dd-90e3-4466-afac-f45c9bb59e09,219670.0,Short Term,744.0,1271100.0,< 1 year,Rent,Debt Consolidation,15570.88,31.8,50.0,7.0,1.0,166459.0,338140.0,1.0,0.0
b0bc39c4-4786-46a1-924e-b7a38a7bd55c,4e90c969-ef08-4383-8ac2-866a94a5df9e,336006.0,Short Term,721.0,1166942.0,10+ years,Rent,Debt Consolidation,24603.1,17.2,33.0,8.0,0.0,145293.0,199320.0,0.0,0.0
69382bb1-d5fe-459c-ac95-8e49a7f07526,62879dc8-4fa4-4df5-848b-bf74a779e1a4,769010.0,Short Term,729.0,2808352.0,1 year,Home Mortgage,Debt Consolidation,22981.64,33.8,50.0,11.0,0.0,372077.0,474474.0,0.0,0.0
88a599fc-5760-4a52-b07e-d6ce5a8eba99,8f85275d-e13f-4981-bbbd-c2f70c160250,433268.0,Long Term,668.0,2982183.0,10+ years,Home Mortgage,Debt Consolidation,45726.92,34.1,20.0,21.0,0.0,579500.0,1235740.0,0.0,0.0
796e46ac-07f1-4e93-8869-592a92c73baa,82c5e0ea-e4ed-4f15-a6db-3938138ab0a7,179058.0,Short Term,717.0,1799680.0,2 years,Rent,Other,14502.32,23.3,14.0,6.0,0.0,234099.0,512380.0,0.0,0.0
5c6ede3e-b576-4da2-8047-e4447cbde5c3,381055d7-5454-4f5f-bfdd-21bc4400984b,222618.0,Short Term,729.0,1441967.0,10+ years,Home Mortgage,Debt Consolidation,3652.94,25.9,29.0,5.0,1.0,79914.0,106854.0,1.0,0.0
778cfdb2-fa4c-4407-965c-acd2843f7c43,24d2269d-b801-4f21-8c6a-7f0431bd9ac0,483670.0,Long Term,7030.0,949335.0,7 years,Home Mortgage,Debt Consolidation,10363.55,15.8,22.0,11.0,1.0,14592.0,238106.0,1.0,0.0
b8215a16-4301-4a6c-a4f8-1b35725e6925,881a4280-b20c-4bb6-a8d6-1503d47a28e6,445852.0,Short Term,745.0,1867510.0,1 year,Rent,Home Improvements,35949.52,10.1,40.0,13.0,0.0,205770.0,505868.0,0.0,0.0
b88a6b90-ef3d-4eeb-9035-bf6a2bd8bb51,4a8c355c-2511-4cb6-9f42-530c758a60c0,129008.0,Short Term,746.0,523697.0,7 years,Rent,Debt Consolidation,12481.29,9.0,26.0,20.0,0.0,89281.0,494670.0,0.0,0.0
712fa429-26ed-4eb7-9a90-ec5a38515d50,db37617f-ddaf-4dfd-a9d8-98b5a1181f6b,174658.0,Short Term,7450.0,754224.0,10+ years,Home Mortgage,Debt Consolidation,14204.4,28.0,67.0,11.0,0.0,170088.0,360074.0,0.0,0.0
947fccf7-dd72-4523-87dc-c2aa4d519b2f,cc3fc6e1-28b6-4900-8e5e-39337b67eec0,89892.0,Short Term,741.0,2524416.0,< 1 year,Rent,other,10665.84,20.0,71.0,9.0,0.0,229805.0,474298.0,0.0,0.0
b73342fe-151f-4834-8c07-fac9e131a0bc,3302eaec-aab0-4c5a-b95b-9ce90ce745bf,256036.0,Long Term,694.0,1795443.0,10+ years,Own Home,Debt Consolidation,24537.55,10.9,33.0,12.0,0.0,201761.0,295350.0,0.0,0.0
cc497727-8f03-4a42-9b62-66264228dfb8,a206d024-b92a-41fc-88f5-c86168264149,454630.0,Long Term,656.0,2020935.0,10+ years,Home Mortgage,Debt Consolidation,25093.3,28.7,30.0,11.0,0.0,285342.0,358732.0,0.0,0.0
2c677e68-e88e-4e4c-8764-be39f33d4372,5b5cec8f-c6b6-4d05-a332-471ac9d54abc,99999999.0,Long Term,741.0,616341.0,3 years,Rent,Medical Bills,7914.83,16.0,19.0,6.0,0.0,4484.0,33110.0,0.0,0.0
09ee53d8-721c-409e-964c-02d61a32a20e,6abac3d7-66fd-417b-8e87-badcb7dd99d9,346764.0,Short Term,702.0,1123014.0,< 1 year,Rent,Debt Consolidation,15272.96,17.8,77.0,6.0,0.0,448571.0,548460.0,0.0,0.0
33e3bb16-2f75-4f9c-a411-c24d8cdaac01,2b369f71-067f-45e5-975a-0d7fa96aa371,111914.0,Short Term,718.0,947131.0,5 years,Rent,Other,576.27,30.7,48.0,4.0,0.0,57741.0,134244.0,0.0,0.0
0a263af1-3cf0-46a5-8778-2088cb578f6d,a147b764-5963-48a9-bb77-3e43714e8abb,498850.0,Long Term,715.0,1115262.0,10+ years,Home Mortgage,Debt Consolidation,24350.02,9.5,36.0,18.0,0.0,386574.0,1177924.0,0.0,0.0
7ecfc187-4291-48de-bcb9-c69fea1b01d3,ff4b2d45-a398-433c-afc1-6fc3956c26f1,285604.0,Short Term,706.0,853803.0,10+ years,Home Mortgage,other,5898.36,29.4,59.0,14.0,0.0,89566.0,349228.0,0.0,0.0
45b4b502-67d5-4ed6-83d4-816b75a99054,2fe74d9e-ccb9-4c4a-b941-9e3f497e91dc,182886.0,Short Term,713.0,1897340.0,< 1 year,Home Mortgage,other,3162.36,19.4,26.0,9.0,1.0,120156.0,244948.0,0.0,0.0
224479ee-d733-43ee-9026-0f8a55a4c736,618783a1-5138-4724-8175-690d54189ce2,377740.0,Long Term,652.0,1039338.0,7 years,Rent,Business Loan,16196.36,17.7,77.0,9.0,0.0,248007.0,483428.0,0.0,0.0
589b77fb-9fef-476f-9dbb-9ec8334c976c,b9fce3cf-01de-4667-9966-13661205380c,309738.0,Long Term,657.0,741228.0,7 years,Home Mortgage,Debt Consolidation,14083.18,19.2,38.0,9.0,0.0,288363.0,431376.0,0.0,0.0
